time,x1,y1,x2,y2
10.367,325.207,374.174,334.000,401.000
10.383,325.832,375.265,334.000,401.000
10.400,326.457,376.355,333.537,401.585
10.417,326.000,376.000,332.000,401.000
10.433,326.654,377.129,333.000,402.000
10.450,327.000,380.000,333.000,402.000
10.467,327.663,381.078,334.000,402.000
10.483,328.326,382.155,333.464,402.643
10.500,328.988,383.233,332.000,402.000
10.517,329.651,384.310,333.000,402.000
10.533,330.000,386.000,332.520,402.680
10.550,330.676,387.052,329.000,400.000
10.567,331.352,388.104,329.000,400.000
10.583,332.028,389.156,329.000,400.000
10.600,332.703,390.208,329.000,400.000
10.617,332.000,391.000,332.000,403.000
10.633,332.774,392.071,333.000,403.000
10.650,333.549,393.141,333.000,403.000
10.667,334.323,394.212,334.000,404.000
10.683,335.097,395.282,333.000,404.000
10.700,335.872,396.353,334.000,405.000
10.717,336.646,397.424,334.000,405.000
10.733,337.421,398.494,332.500,405.500
10.750,338.195,399.565,331.000,406.000
10.767,338.969,400.636,330.000,409.000
10.783,339.744,401.706,329.000,412.000
10.800,340.518,402.777,328.500,414.700
10.817,341.292,403.847,328.000,416.000
10.833,342.067,404.918,327.357,417.857
10.850,342.841,405.989,327.000,419.000
10.867,343.517,407.041,326.000,419.000
10.883,344.193,408.093,325.000,419.000
10.900,344.869,409.145,322.000,418.000
10.917,345.544,410.197,321.480,418.320
10.933,346.220,411.249,321.000,419.000
10.950,346.883,412.326,319.000,419.000
10.967,347.546,413.404,317.934,421.284
10.983,348.209,414.481,317.398,421.927
11.000,348.871,415.559,316.863,422.570
11.017,349.534,416.636,316.374,423.193
11.033,350.188,417.765,315.899,423.798
11.050,350.842,418.894,315.463,424.415
11.067,351.467,419.985,315.000,425.000
11.083,352.092,421.076,319.126,418.216
11.100,352.717,422.166,318.780,418.617
11.117,353.342,423.257,318.447,419.002
11.133,353.968,424.348,318.113,419.386
11.150,354.593,425.438,317.780,419.771
11.167,355.218,426.529,317.447,420.156
11.183,355.843,427.620,317.113,420.540
11.200,356.469,428.711,316.780,420.925
11.217,357.094,429.801,316.447,421.310
11.233,357.719,430.892,316.114,421.695
11.250,358.248,431.819,314.707,420.933
11.267,359.145,433.153,313.929,420.364
11.283,359.188,433.675,312.195,419.181
11.300,359.315,434.295,311.607,418.303
11.317,359.959,435.612,310.763,416.874
11.333,360.452,436.964,309.898,415.577
11.350,361.496,439.238,309.467,414.388
11.367,362.048,441.598,309.432,413.227
11.383,362.731,443.328,309.331,412.371
11.400,363.246,445.249,309.273,410.662
11.417,363.466,446.360,309.112,409.391
11.433,363.833,447.374,309.267,407.741
11.450,364.209,448.787,309.371,406.655
11.467,364.122,448.908,309.483,405.700
11.483,364.744,450.474,309.499,404.722
11.500,364.808,451.084,309.647,403.670
11.517,364.896,451.197,309.605,402.952
11.533,365.147,452.960,310.022,401.522
11.550,365.441,454.150,310.144,401.522
11.567,365.550,454.117,310.322,399.988
